Columna,Total_datos,Datos_validos,Datos_faltantes,Media,Mediana,Std,Min,Max,Outliers_Zscore_3,Outliers_Zscore_4,Outliers_IQR,Outliers_IsolationForest,Pct_Outliers_Zscore_3,Pct_Outliers_Zscore_4,Pct_Outliers_IQR,Pct_Outliers_IsolationForest
co,386494,364616,21878,1.3637581099019243,1.23,0.8229143941555437,-0.13,37.0,3840,1407,6740,3597,1.0531627794721021,0.38588542466594994,1.8485200868859293,0.9865173223336332
no,386494,368735,17759,11.971078416749155,5.2,20.414564992610774,0.3,945.1,8241,4772,40748,3677,2.234938370374388,1.2941543384815652,11.050754606967063,0.9971931061602506
no2,386494,371092,15402,15.325864475655633,12.2,11.299053644074444,0.0,167.8,5424,2103,13527,3700,1.46163215590743,0.5667058303601263,3.6451877162536515,0.9970573334914252
nox,386494,371546,14948,27.11261701108342,18.3,27.775757207443053,0.5,971.8,8143,4147,30759,3641,2.19165325424039,1.1161471257933069,8.278651903129088,0.9799594128317892
o3,386494,369094,17400,26.928443973621896,23.0,18.61954849887458,-9.0,183.0,4965,1395,8921,3565,1.3451857792323907,0.3779524999051732,2.4169994635512904,0.9658786108687759
pm10,386494,373557,12937,60.956876300002406,52.0,42.7812714962919,1.0,1001.0,5729,2823,17453,3694,1.5336347598893878,0.7557079642464202,4.67211161884264,0.9888718455282595
pm2.5,386494,290296,96198,20.53583197839447,17.0,16.412458460048096,-1.0,999.0,3441,1490,11088,2783,1.1853418579656625,0.5132692148703393,3.819549700994847,0.9586766610631906
prs,386494,376939,9555,715.292529560486,714.5,9.31744528896768,655.4,747.6,689,1,2201,3509,0.18278819649863773,0.00026529491509236247,0.5839141081182897,0.9309198570590997
rainf,386494,380321,6173,0.013528782265507295,0.0,0.45475189261015986,0.0,83.45,522,424,5556,3748,0.13725247882709607,0.11148477207411633,1.4608712114240339,0.9854833154098774
rh,386494,353050,33444,56.574652598782045,58.0,21.51858770011274,0.0,714.2,5,4,5,3082,0.00141622999575131,0.001132983996601048,0.00141622999575131,0.8729641693811074
so2,386494,359556,26938,4.462997252166561,3.6,3.9158327879973256,0.5,222.9,4471,2717,22203,3588,1.2434780673942305,0.7556541957302896,6.175115976370858,0.9978974068017222
sr,386494,369379,17115,0.14918396822775523,0.003,0.25166695169527536,-0.012,7.786,1850,902,22112,3683,0.5008406000341113,0.24419363309771264,5.986263431326632,0.9970788810408822
tout,386494,370842,15652,23.379534950194422,24.13,7.5594107644633945,-8.75,785.0,984,12,1856,3604,0.2653421133528565,0.003235879431132396,0.5004826853484773,0.971842455816763
wsr,386494,376200,10294,8.488824561403508,7.7,5.6264856384293385,0.1,215.9,1556,694,4152,3652,0.41360978203083465,0.1844763423710792,1.1036682615629982,0.9707602339181286
wdr,386494,375142,11352,140.56483918089683,115.0,94.83090748232225,1.0,360.0,0,0,0,3752,0.0,0.0,0.0,1.0001546081217247
