hour_of_year,co_2022,co_2023,co_2024
1,,3.67,4.21
2,3.28,3.9,4.21
3,3.25,4.28,4.37
4,3.02,3.15,3.35
5,2.73,2.32,3.53
6,2.65,1.95,2.9
7,1.98,1.77,2.37
8,1.64,1.95,2.11
9,1.25,1.52,1.81
10,1.09,1.43,1.8
11,1.08,1.32,1.59
12,1.01,1.03,1.57
13,1.0,0.96,1.59
14,1.02,0.89,1.52
15,0.99,0.95,1.58
16,0.99,0.98,1.56
17,1.03,0.92,1.51
18,1.04,0.97,1.53
19,1.14,1.09,1.6
20,1.27,1.34,1.75
21,1.8,1.49,1.6
22,1.92,1.78,1.46
23,2.3,1.8,1.45
24,2.38,1.92,1.45
25,2.45,1.91,1.44
26,1.79,1.86,1.42
27,1.57,1.53,1.41
28,1.34,1.26,1.4
29,1.14,1.11,1.39
30,1.06,1.25,1.4
31,1.0,1.1,1.43
32,0.99,1.04,1.48
33,1.05,1.06,1.66
34,1.1,1.32,1.56
35,1.12,1.61,1.64
36,1.09,1.36,1.71
37,1.11,1.58,1.72
38,1.12,1.27,1.87
39,1.14,1.2,1.84
40,1.14,1.17,1.72
41,1.16,1.15,1.87
42,1.16,1.13,1.86
43,1.17,1.5,1.91
44,1.2,1.88,2.08
45,1.24,2.67,2.15
46,1.21,2.59,2.27
47,1.22,3.08,2.59
48,1.24,2.54,2.77
49,1.19,1.98,2.83
50,1.15,1.6,2.63
51,1.05,1.48,2.71
52,1.03,1.14,2.58
53,1.02,0.99,1.94
54,1.12,0.87,1.95
55,1.25,1.05,1.93
56,1.39,1.1,1.86
57,2.13,1.34,1.86
58,1.71,1.85,1.87
59,1.46,1.51,1.84
60,1.41,1.42,1.91
61,1.3,1.41,1.76
62,1.24,1.22,1.94
63,1.21,1.1,2.15
64,1.2,1.1,1.88
65,1.18,1.11,1.71
66,1.18,1.06,1.64
67,1.24,1.16,1.7
68,1.29,1.31,1.72
69,1.37,1.18,1.56
70,1.32,1.22,1.62
71,1.21,1.59,1.56
72,1.26,2.42,1.54
73,1.32,1.96,1.45
74,1.35,1.82,1.42
75,1.38,1.4,1.41
76,1.42,1.32,1.43
77,1.43,1.27,1.44
78,1.28,1.25,1.42
79,1.49,1.3,1.45
80,1.92,1.71,1.49
81,2.28,2.31,1.63
82,2.34,2.85,1.67
83,1.71,1.7,1.78
84,1.53,1.28,1.76
85,1.59,1.2,1.72
86,1.58,1.3,1.7
87,1.6,1.18,1.73
88,1.7,1.12,1.73
89,1.74,1.12,1.77
90,1.8,1.06,1.78
91,2.22,1.13,1.83
92,2.36,1.35,1.87
93,4.15,1.48,1.75
94,4.29,1.34,1.83
95,3.71,2.02,1.92
96,3.93,1.93,1.93
97,3.33,1.75,1.79
98,2.6,1.65,1.77
99,2.27,1.45,1.64
100,1.81,1.4,1.5
101,1.56,1.35,1.45
102,1.53,1.32,1.45
103,1.68,1.32,1.58
104,2.0,1.59,1.58
105,2.81,2.5,1.77
106,3.65,3.14,1.75
107,2.64,1.84,1.68
108,2.21,1.39,1.61
109,1.26,1.13,1.57
110,1.24,1.51,1.56
111,1.4,1.31,1.76
112,1.39,1.35,1.7
113,1.35,1.25,1.67
114,1.35,1.16,1.71
115,1.55,1.2,1.76
116,1.73,1.25,2.01
117,1.76,1.27,1.95
118,1.99,1.37,1.97
119,2.56,1.3,2.07
120,2.28,1.23,2.72
121,2.34,1.34,2.52
122,2.23,1.51,2.32
123,1.96,1.42,2.25
124,1.75,1.41,2.14
125,1.67,1.35,2.17
126,1.64,1.28,2.0
127,1.76,1.26,2.03
128,2.19,1.38,2.38
129,2.95,1.8,2.82
130,3.76,1.35,2.8
131,2.58,1.34,2.35
132,1.45,1.43,1.84
133,1.28,1.35,1.64
134,1.38,1.41,1.72
135,1.46,1.63,1.92
136,1.76,1.73,1.98
137,1.6,1.48,1.9
138,1.55,1.33,1.91
139,1.98,1.4,2.01
140,2.26,1.46,2.36
141,1.95,1.55,2.62
142,1.68,1.87,3.58
143,1.53,2.61,2.7
144,1.54,2.41,2.91
145,1.5,2.31,3.04
146,1.31,2.3,3.01
147,1.36,2.13,2.99
148,1.4,1.78,2.57
149,1.42,1.6,2.36
150,1.34,1.45,2.3
151,1.32,1.54,2.07
152,1.39,1.89,1.93
153,1.42,2.23,1.82
154,1.43,2.64,1.86
155,1.52,2.45,1.92
156,1.63,1.57,1.79
157,1.6,1.78,1.81
158,1.51,1.58,1.78
159,1.66,1.3,1.85
160,1.79,1.24,1.74
161,1.8,1.21,1.73
162,1.88,1.22,1.75
163,2.0,1.27,1.74
164,2.09,1.3,1.6
165,1.85,1.33,1.56
166,1.95,1.38,1.52
167,1.97,1.4,1.61
168,1.99,1.41,1.65
169,2.03,1.43,1.66
170,2.05,1.74,1.66
171,2.13,1.76,1.71
172,1.98,1.48,1.72
173,1.73,1.28,1.57
174,1.73,1.17,1.62
175,1.82,1.18,1.75
176,1.96,1.23,2.18
177,2.2,1.36,2.96
178,2.34,1.36,3.41
179,2.03,1.33,2.81
180,2.18,1.29,2.32
181,2.22,1.32,1.86
182,2.13,1.26,2.07
183,2.34,1.21,2.07
184,2.31,1.23,1.84
185,2.45,1.16,1.8
186,2.37,1.2,1.8
187,2.5,1.2,1.68
188,3.78,1.27,1.76
189,5.02,1.32,1.71
190,5.63,1.3,1.65
191,6.02,1.28,1.55
192,5.06,1.16,
193,4.84,1.08,1.53
194,4.11,1.05,1.51
195,3.41,1.03,1.47
196,2.66,1.01,1.39
197,2.46,1.05,1.39
198,2.16,1.03,1.41
199,2.13,1.07,1.46
200,2.25,1.12,1.55
201,2.32,1.42,1.82
202,2.3,1.33,1.82
