hour_of_year,pm10_2022,pm10_2023,pm10_2024
1,411.0,222.0,945.0
2,359.0,311.0,945.0
3,378.0,723.0,998.0
4,255.0,473.0,913.0
5,228.0,372.0,708.0
6,169.0,285.0,527.0
7,155.0,173.0,385.0
8,156.0,212.0,208.0
9,150.0,125.0,172.0
10,100.0,144.0,123.0
11,66.0,146.0,82.0
12,59.0,114.0,79.0
13,61.0,88.0,66.0
14,40.0,92.0,44.0
15,68.0,71.0,38.0
16,72.0,49.0,33.0
17,61.0,40.0,34.0
18,35.0,65.0,33.0
19,33.0,98.0,51.0
20,34.0,90.0,61.0
21,40.0,106.0,69.0
22,58.0,123.0,59.0
23,87.0,81.0,53.0
24,105.0,79.0,46.0
25,114.0,74.0,47.0
26,118.0,76.0,34.0
27,96.0,82.0,32.0
28,111.0,67.0,42.0
29,127.0,56.0,36.0
30,156.0,52.0,30.0
31,97.0,54.0,37.0
32,172.0,59.0,32.0
33,142.0,66.0,30.0
34,121.0,102.0,31.0
35,79.0,154.0,34.0
36,78.0,127.0,27.0
37,75.0,,27.0
38,58.0,,27.0
39,44.0,236.0,36.0
40,43.0,67.0,39.0
41,43.0,73.0,41.0
42,48.0,81.0,51.0
43,54.0,76.0,57.0
44,52.0,94.0,54.0
45,46.0,118.0,59.0
46,37.0,154.0,138.0
47,28.0,196.0,108.0
48,28.0,146.0,71.0
49,28.0,142.0,52.0
50,31.0,206.0,43.0
51,31.0,228.0,29.0
52,38.0,190.0,28.0
53,33.0,127.0,29.0
54,42.0,72.0,27.0
55,35.0,76.0,22.0
56,32.0,92.0,23.0
57,55.0,96.0,34.0
58,61.0,89.0,44.0
59,48.0,101.0,53.0
60,50.0,102.0,81.0
61,54.0,78.0,76.0
62,37.0,64.0,74.0
63,43.0,62.0,52.0
64,47.0,66.0,65.0
65,47.0,72.0,
66,46.0,76.0,48.0
67,41.0,88.0,47.0
68,43.0,79.0,70.0
69,51.0,76.0,68.0
70,45.0,89.0,64.0
71,47.0,76.0,51.0
72,40.0,66.0,53.0
73,45.0,92.0,46.0
74,34.0,100.0,40.0
75,25.0,170.0,47.0
76,27.0,220.0,50.0
77,45.0,169.0,49.0
78,38.0,136.0,43.0
79,35.0,162.0,35.0
80,35.0,198.0,40.0
81,42.0,231.0,44.0
82,51.0,233.0,57.0
83,57.0,186.0,57.0
84,49.0,104.0,50.0
85,74.0,63.0,38.0
86,94.0,72.0,38.0
87,106.0,72.0,40.0
88,98.0,78.0,41.0
89,89.0,77.0,42.0
90,96.0,74.0,47.0
91,87.0,76.0,45.0
92,76.0,74.0,51.0
93,96.0,89.0,52.0
94,104.0,103.0,53.0
95,127.0,119.0,62.0
96,122.0,105.0,51.0
97,124.0,89.0,44.0
98,130.0,66.0,33.0
99,122.0,68.0,45.0
100,127.0,81.0,34.0
101,132.0,80.0,26.0
102,174.0,69.0,24.0
103,172.0,82.0,25.0
104,231.0,92.0,35.0
105,262.0,87.0,41.0
106,141.0,89.0,44.0
107,125.0,143.0,60.0
108,152.0,171.0,60.0
109,146.0,149.0,59.0
110,86.0,127.0,69.0
111,62.0,92.0,60.0
112,81.0,102.0,57.0
113,65.0,93.0,57.0
114,84.0,111.0,64.0
115,87.0,92.0,65.0
116,63.0,80.0,77.0
117,70.0,111.0,67.0
118,62.0,120.0,77.0
119,69.0,92.0,69.0
120,86.0,74.0,65.0
121,68.0,69.0,75.0
122,84.0,60.0,71.0
123,109.0,70.0,122.0
124,110.0,59.0,161.0
125,104.0,48.0,104.0
126,121.0,53.0,94.0
127,128.0,52.0,91.0
128,172.0,51.0,75.0
129,188.0,53.0,117.0
130,179.0,77.0,138.0
131,185.0,86.0,137.0
132,206.0,103.0,110.0
133,126.0,123.0,88.0
134,83.0,91.0,68.0
135,99.0,85.0,61.0
136,78.0,102.0,70.0
137,85.0,79.0,71.0
138,86.0,76.0,66.0
139,79.0,73.0,74.0
140,82.0,77.0,84.0
141,92.0,98.0,160.0
142,75.0,118.0,184.0
143,78.0,164.0,163.0
144,124.0,179.0,183.0
145,75.0,207.0,180.0
146,67.0,118.0,170.0
147,59.0,106.0,156.0
148,41.0,73.0,119.0
149,40.0,54.0,101.0
150,44.0,59.0,80.0
151,36.0,68.0,62.0
152,40.0,82.0,61.0
153,37.0,82.0,63.0
154,41.0,93.0,61.0
155,49.0,128.0,62.0
156,44.0,124.0,74.0
157,52.0,95.0,51.0
158,57.0,78.0,52.0
159,64.0,69.0,55.0
160,65.0,,53.0
161,74.0,57.0,63.0
162,86.0,81.0,68.0
163,83.0,93.0,81.0
164,93.0,102.0,80.0
165,79.0,87.0,66.0
166,69.0,85.0,72.0
167,62.0,72.0,54.0
168,62.0,63.0,39.0
169,54.0,73.0,42.0
170,52.0,64.0,40.0
171,56.0,61.0,40.0
172,61.0,65.0,42.0
173,54.0,62.0,41.0
174,49.0,53.0,41.0
175,59.0,54.0,43.0
176,71.0,48.0,50.0
177,78.0,54.0,64.0
178,76.0,43.0,100.0
179,82.0,51.0,142.0
180,98.0,49.0,114.0
181,111.0,50.0,169.0
182,121.0,49.0,196.0
183,144.0,51.0,128.0
184,131.0,46.0,115.0
185,105.0,52.0,94.0
186,97.0,63.0,87.0
187,98.0,68.0,82.0
188,126.0,73.0,131.0
189,127.0,78.0,301.0
190,110.0,77.0,244.0
191,85.0,79.0,136.0
192,77.0,73.0,99.0
193,111.0,64.0,71.0
194,121.0,63.0,71.0
195,123.0,62.0,91.0
196,141.0,61.0,121.0
197,155.0,50.0,161.0
198,156.0,40.0,139.0
199,149.0,41.0,114.0
200,181.0,44.0,118.0
201,180.0,60.0,132.0
202,171.0,73.0,192.0
203,161.0,86.0,170.0
204,125.0,107.0,141.0
205,97.0,111.0,136.0
206,74.0,93.0,134.0
207,66.0,74.0,141.0
208,46.0,67.0,127.0
209,48.0,63.0,129.0
210,51.0,67.0,147.0
211,54.0,69.0,
212,50.0,68.0,220.0
213,47.0,73.0,147.0
214,47.0,78.0,144.0
215,46.0,78.0,144.0
216,50.0,68.0,138.0
217,51.0,68.0,133.0
218,60.0,83.0,118.0
219,44.0,96.0,146.0
220,49.0,96.0,159.0
221,104.0,152.0,129.0
222,73.0,166.0,136.0
223,52.0,128.0,118.0
224,30.0,123.0,167.0
225,32.0,138.0,205.0
226,32.0,179.0,179.0
227,36.0,227.0,163.0
228,45.0,213.0,231.0
229,47.0,240.0,
230,39.0,186.0,287.0
231,36.0,148.0,237.0
232,34.0,132.0,235.0
233,35.0,115.0,210.0
234,39.0,90.0,190.0
235,36.0,95.0,174.0
236,35.0,100.0,180.0
237,32.0,127.0,177.0
238,30.0,101.0,185.0
239,24.0,96.0,206.0
240,31.0,95.0,217.0
241,28.0,112.0,176.0
242,28.0,110.0,217.0
243,28.0,157.0,352.0
244,25.0,157.0,323.0
245,25.0,123.0,219.0
246,28.0,102.0,177.0
247,28.0,96.0,188.0
248,25.0,111.0,220.0
249,32.0,148.0,237.0
250,27.0,168.0,235.0
251,32.0,183.0,224.0
252,46.0,176.0,288.0
253,43.0,217.0,
254,53.0,189.0,181.0
255,62.0,187.0,116.0
256,50.0,147.0,81.0
257,47.0,122.0,72.0
258,47.0,98.0,81.0
259,50.0,89.0,104.0
260,48.0,125.0,93.0
261,44.0,150.0,148.0
262,50.0,186.0,242.0
263,50.0,236.0,273.0
264,43.0,241.0,281.0
265,39.0,239.0,337.0
266,36.0,294.0,315.0
267,43.0,244.0,268.0
268,37.0,207.0,213.0
269,42.0,144.0,267.0
270,34.0,106.0,136.0
271,87.0,148.0,149.0
272,100.0,480.0,503.0
273,77.0,623.0,625.0
274,75.0,331.0,621.0
275,73.0,252.0,642.0
276,59.0,199.0,602.0
277,71.0,126.0,546.0
278,68.0,67.0,360.0
279,89.0,55.0,217.0
280,103.0,44.0,184.0
281,94.0,54.0,181.0
282,85.0,62.0,176.0
283,80.0,61.0,227.0
284,87.0,71.0,195.0
285,110.0,81.0,147.0
286,119.0,59.0,122.0
287,54.0,56.0,94.0
288,58.0,54.0,91.0
289,55.0,50.0,99.0
290,67.0,43.0,81.0
291,70.0,39.0,76.0
292,94.0,36.0,79.0
293,96.0,41.0,96.0
294,82.0,35.0,108.0
295,141.0,40.0,114.0
296,131.0,54.0,96.0
297,127.0,64.0,115.0
298,160.0,74.0,156.0
299,168.0,65.0,141.0
300,142.0,56.0,150.0
301,124.0,,152.0
302,101.0,47.0,139.0
303,81.0,45.0,144.0
304,69.0,59.0,127.0
