hour_of_year,pm10_2022,pm10_2023,pm10_2024
1,182.0,93.0,484.0
2,166.0,162.0,484.0
3,184.0,209.0,429.0
4,201.0,220.0,426.0
5,216.0,219.0,262.0
6,166.0,261.0,223.0
7,105.0,187.0,427.0
8,102.0,109.0,228.0
9,125.0,117.0,123.0
10,83.0,93.0,66.0
11,138.0,82.0,65.0
12,69.0,78.0,62.0
13,86.0,85.0,54.0
14,47.0,74.0,43.0
15,92.0,44.0,36.0
16,94.0,40.0,37.0
17,131.0,43.0,39.0
18,99.0,54.0,34.0
19,46.0,95.0,42.0
20,49.0,63.0,52.0
21,83.0,77.0,50.0
22,51.0,79.0,53.0
23,74.0,80.0,50.0
24,89.0,55.0,52.0
25,88.0,80.0,48.0
26,105.0,69.0,47.0
27,111.0,53.0,40.0
28,101.0,49.0,41.0
29,68.0,50.0,43.0
30,346.0,47.0,50.0
31,289.0,55.0,39.0
32,475.0,65.0,28.0
33,217.0,87.0,26.0
34,194.0,112.0,30.0
35,108.0,195.0,28.0
36,120.0,149.0,36.0
37,117.0,114.0,34.0
38,75.0,83.0,38.0
39,65.0,,42.0
40,55.0,60.0,38.0
41,55.0,69.0,59.0
42,59.0,96.0,85.0
43,67.0,94.0,76.0
44,59.0,112.0,72.0
45,54.0,119.0,87.0
46,38.0,149.0,78.0
47,36.0,212.0,68.0
48,34.0,189.0,67.0
49,33.0,211.0,56.0
50,31.0,235.0,41.0
51,40.0,257.0,32.0
52,31.0,192.0,28.0
53,35.0,124.0,27.0
54,33.0,91.0,26.0
55,50.0,63.0,29.0
56,48.0,74.0,30.0
57,49.0,70.0,34.0
58,62.0,96.0,42.0
59,90.0,152.0,70.0
60,62.0,89.0,48.0
61,43.0,85.0,56.0
62,45.0,54.0,44.0
63,37.0,44.0,38.0
64,48.0,52.0,43.0
65,50.0,68.0,48.0
66,46.0,136.0,46.0
67,49.0,141.0,69.0
68,67.0,95.0,99.0
69,84.0,80.0,101.0
70,62.0,105.0,96.0
71,52.0,117.0,87.0
72,54.0,104.0,70.0
73,58.0,115.0,70.0
74,44.0,144.0,74.0
75,56.0,136.0,54.0
76,52.0,154.0,48.0
77,38.0,146.0,56.0
78,37.0,124.0,47.0
79,43.0,201.0,41.0
80,54.0,210.0,55.0
81,55.0,213.0,66.0
82,103.0,266.0,69.0
83,122.0,253.0,80.0
84,97.0,161.0,76.0
85,68.0,120.0,52.0
86,100.0,87.0,42.0
87,99.0,69.0,39.0
88,117.0,59.0,35.0
89,106.0,70.0,45.0
90,129.0,87.0,42.0
91,131.0,81.0,51.0
92,112.0,93.0,65.0
93,123.0,121.0,54.0
94,118.0,147.0,92.0
95,168.0,157.0,66.0
96,215.0,159.0,72.0
97,185.0,76.0,68.0
98,157.0,71.0,38.0
99,230.0,89.0,48.0
100,228.0,69.0,24.0
101,214.0,61.0,28.0
102,187.0,57.0,33.0
103,169.0,76.0,22.0
104,151.0,90.0,32.0
105,181.0,131.0,34.0
106,228.0,199.0,50.0
107,229.0,204.0,57.0
108,226.0,125.0,75.0
109,208.0,133.0,49.0
110,148.0,78.0,60.0
111,77.0,84.0,55.0
112,97.0,95.0,62.0
113,101.0,81.0,52.0
114,77.0,100.0,68.0
115,82.0,103.0,84.0
116,82.0,93.0,107.0
117,104.0,97.0,97.0
118,146.0,84.0,104.0
119,160.0,103.0,103.0
120,109.0,120.0,127.0
121,108.0,99.0,127.0
122,101.0,78.0,132.0
123,121.0,52.0,78.0
124,123.0,48.0,82.0
125,128.0,46.0,58.0
126,165.0,36.0,94.0
127,132.0,42.0,94.0
128,170.0,53.0,125.0
129,179.0,65.0,121.0
130,174.0,67.0,164.0
131,179.0,85.0,170.0
132,171.0,94.0,107.0
133,126.0,92.0,72.0
134,111.0,68.0,61.0
135,115.0,81.0,74.0
136,133.0,112.0,77.0
137,90.0,107.0,69.0
138,72.0,77.0,81.0
139,89.0,97.0,74.0
140,89.0,88.0,85.0
141,105.0,113.0,107.0
142,116.0,139.0,129.0
143,103.0,164.0,139.0
144,92.0,167.0,131.0
145,109.0,104.0,150.0
146,83.0,78.0,176.0
147,66.0,60.0,127.0
148,47.0,47.0,78.0
149,54.0,34.0,75.0
150,41.0,42.0,72.0
151,42.0,56.0,63.0
152,39.0,75.0,60.0
153,53.0,85.0,59.0
154,62.0,101.0,70.0
155,55.0,109.0,65.0
156,66.0,107.0,68.0
157,69.0,83.0,52.0
158,82.0,72.0,54.0
159,87.0,59.0,48.0
160,101.0,61.0,66.0
161,84.0,67.0,61.0
162,90.0,92.0,85.0
163,102.0,78.0,51.0
164,82.0,67.0,64.0
165,97.0,71.0,89.0
166,87.0,82.0,73.0
167,79.0,49.0,53.0
168,81.0,59.0,49.0
169,73.0,55.0,41.0
170,72.0,54.0,41.0
171,72.0,49.0,42.0
172,56.0,51.0,41.0
173,66.0,48.0,39.0
174,64.0,40.0,36.0
175,73.0,54.0,36.0
176,82.0,46.0,43.0
177,94.0,67.0,56.0
178,111.0,55.0,141.0
179,121.0,53.0,161.0
180,130.0,38.0,127.0
181,150.0,48.0,145.0
182,145.0,40.0,130.0
183,160.0,43.0,89.0
184,163.0,47.0,94.0
185,130.0,46.0,99.0
186,122.0,57.0,82.0
187,110.0,56.0,101.0
188,123.0,70.0,155.0
