hour_of_year,pm10_2022,pm10_2023,pm10_2024
1,,221.0,538.0
2,232.0,267.0,340.0
3,234.0,320.0,346.0
4,183.0,361.0,275.0
5,137.0,166.0,176.0
6,99.0,94.0,143.0
7,88.0,76.0,124.0
8,62.0,61.0,75.0
9,65.0,64.0,60.0
10,51.0,48.0,48.0
11,38.0,53.0,52.0
12,73.0,40.0,35.0
13,277.0,34.0,27.0
14,122.0,23.0,37.0
15,117.0,15.0,30.0
16,85.0,16.0,32.0
17,72.0,32.0,31.0
18,34.0,28.0,34.0
19,26.0,24.0,28.0
20,33.0,27.0,36.0
21,46.0,138.0,46.0
22,38.0,78.0,37.0
23,70.0,91.0,25.0
24,80.0,85.0,27.0
25,69.0,106.0,27.0
26,73.0,90.0,26.0
27,48.0,88.0,29.0
28,42.0,72.0,30.0
29,34.0,72.0,19.0
30,28.0,56.0,15.0
31,194.0,60.0,16.0
32,115.0,51.0,22.0
33,71.0,51.0,26.0
34,86.0,68.0,27.0
35,93.0,55.0,42.0
36,85.0,108.0,37.0
37,68.0,99.0,39.0
38,82.0,83.0,48.0
39,67.0,55.0,48.0
40,62.0,48.0,51.0
41,49.0,55.0,48.0
42,50.0,47.0,56.0
43,47.0,43.0,59.0
44,49.0,67.0,67.0
45,51.0,84.0,75.0
46,52.0,167.0,76.0
47,42.0,204.0,82.0
48,38.0,175.0,107.0
49,38.0,142.0,141.0
50,35.0,123.0,171.0
51,38.0,80.0,130.0
52,29.0,112.0,151.0
53,27.0,69.0,154.0
54,22.0,77.0,99.0
55,38.0,48.0,95.0
56,42.0,43.0,83.0
57,57.0,57.0,68.0
58,128.0,59.0,63.0
59,76.0,141.0,62.0
60,58.0,95.0,68.0
61,41.0,84.0,80.0
62,41.0,99.0,60.0
63,41.0,103.0,74.0
64,,62.0,91.0
65,39.0,65.0,79.0
66,34.0,55.0,66.0
67,42.0,45.0,66.0
68,35.0,52.0,58.0
69,29.0,58.0,53.0
70,37.0,56.0,43.0
71,34.0,45.0,35.0
72,32.0,75.0,28.0
73,47.0,112.0,35.0
74,42.0,141.0,31.0
75,59.0,134.0,23.0
76,76.0,88.0,21.0
77,85.0,129.0,36.0
78,77.0,97.0,42.0
79,64.0,97.0,37.0
80,83.0,102.0,39.0
81,107.0,139.0,42.0
82,126.0,141.0,46.0
83,119.0,212.0,59.0
84,80.0,102.0,65.0
85,81.0,60.0,55.0
86,88.0,47.0,47.0
87,79.0,64.0,39.0
88,77.0,53.0,42.0
89,84.0,60.0,49.0
90,91.0,57.0,49.0
91,96.0,53.0,43.0
92,97.0,46.0,42.0
93,88.0,57.0,34.0
94,173.0,51.0,47.0
95,253.0,59.0,48.0
96,217.0,191.0,53.0
97,260.0,157.0,56.0
98,211.0,123.0,59.0
99,142.0,140.0,71.0
100,178.0,142.0,77.0
101,136.0,127.0,49.0
102,97.0,112.0,30.0
103,127.0,95.0,29.0
104,100.0,75.0,37.0
105,96.0,130.0,41.0
106,131.0,249.0,44.0
107,177.0,266.0,60.0
108,151.0,189.0,88.0
109,125.0,91.0,81.0
110,34.0,56.0,78.0
111,40.0,111.0,76.0
112,62.0,106.0,73.0
113,51.0,111.0,69.0
114,164.0,102.0,66.0
115,56.0,79.0,67.0
116,51.0,65.0,66.0
117,55.0,48.0,68.0
118,51.0,46.0,59.0
119,90.0,47.0,68.0
120,229.0,46.0,75.0
121,156.0,38.0,93.0
122,125.0,74.0,112.0
123,109.0,102.0,113.0
124,112.0,99.0,133.0
125,101.0,121.0,123.0
126,141.0,125.0,121.0
127,177.0,86.0,127.0
128,126.0,78.0,131.0
129,131.0,123.0,147.0
130,178.0,148.0,207.0
131,196.0,146.0,206.0
132,186.0,143.0,170.0
133,61.0,152.0,107.0
134,33.0,127.0,70.0
135,50.0,112.0,71.0
136,61.0,128.0,75.0
137,88.0,132.0,87.0
138,76.0,98.0,84.0
139,71.0,76.0,76.0
140,72.0,62.0,76.0
141,71.0,59.0,98.0
142,69.0,60.0,108.0
143,53.0,92.0,176.0
144,50.0,196.0,143.0
145,39.0,178.0,142.0
146,40.0,142.0,134.0
147,41.0,102.0,155.0
148,61.0,97.0,115.0
149,131.0,124.0,94.0
150,50.0,111.0,136.0
151,44.0,115.0,121.0
152,50.0,106.0,81.0
153,64.0,112.0,58.0
154,56.0,129.0,47.0
155,50.0,177.0,47.0
156,60.0,147.0,55.0
157,56.0,108.0,62.0
158,60.0,127.0,69.0
159,61.0,113.0,71.0
160,70.0,92.0,65.0
161,82.0,78.0,52.0
162,74.0,72.0,47.0
163,84.0,66.0,44.0
164,91.0,69.0,43.0
165,97.0,70.0,36.0
166,75.0,67.0,32.0
167,88.0,63.0,28.0
168,99.0,49.0,26.0
169,89.0,47.0,27.0
170,99.0,53.0,29.0
171,106.0,55.0,32.0
172,116.0,57.0,32.0
173,109.0,48.0,39.0
174,105.0,42.0,36.0
175,102.0,44.0,62.0
176,99.0,42.0,92.0
177,73.0,50.0,105.0
178,91.0,57.0,102.0
179,91.0,53.0,185.0
180,132.0,69.0,144.0
181,149.0,54.0,114.0
182,167.0,66.0,80.0
183,144.0,55.0,105.0
184,142.0,51.0,100.0
185,139.0,51.0,95.0
186,139.0,49.0,97.0
187,121.0,45.0,87.0
188,112.0,46.0,222.0
189,169.0,49.0,273.0
190,210.0,49.0,269.0
191,270.0,45.0,166.0
192,288.0,44.0,
193,222.0,29.0,88.0
194,204.0,24.0,68.0
195,162.0,26.0,59.0
196,149.0,26.0,99.0
197,104.0,24.0,102.0
198,96.0,33.0,104.0
199,102.0,34.0,221.0
200,75.0,39.0,261.0
201,88.0,44.0,152.0
202,96.0,51.0,94.0
203,101.0,57.0,
204,84.0,76.0,
205,68.0,70.0,
206,55.0,,
207,108.0,78.0,
208,86.0,55.0,
209,70.0,53.0,
210,61.0,49.0,
211,55.0,52.0,
212,55.0,52.0,
213,50.0,51.0,
214,52.0,43.0,
215,49.0,51.0,
216,50.0,99.0,
217,41.0,132.0,
218,59.0,88.0,
219,67.0,121.0,
220,56.0,143.0,
221,60.0,119.0,
222,79.0,98.0,
223,58.0,104.0,
224,50.0,104.0,
225,38.0,123.0,
226,34.0,206.0,
227,44.0,215.0,
228,45.0,134.0,
229,53.0,136.0,
230,66.0,95.0,
231,66.0,92.0,
232,64.0,69.0,
233,62.0,79.0,
234,58.0,84.0,
235,57.0,79.0,
236,54.0,49.0,
237,56.0,67.0,
238,40.0,67.0,
239,46.0,194.0,
240,38.0,185.0,
241,30.0,118.0,
242,21.0,121.0,
243,20.0,126.0,
244,33.0,104.0,
245,32.0,63.0,
246,32.0,60.0,
247,29.0,93.0,
248,25.0,90.0,
249,23.0,142.0,
250,36.0,304.0,
251,47.0,299.0,
252,39.0,162.0,
253,45.0,61.0,
254,42.0,78.0,
255,51.0,83.0,
256,59.0,65.0,
257,55.0,66.0,
258,56.0,87.0,
259,51.0,66.0,
260,49.0,68.0,
261,47.0,83.0,
262,34.0,220.0,
263,34.0,195.0,
264,,202.0,
265,,,
266,,145.0,
267,,113.0,
268,,106.0,
269,,69.0,
270,,,
271,,81.0,
272,,69.0,
273,,84.0,
274,,,
275,135.0,119.0,
276,135.0,154.0,
277,108.0,195.0,
278,89.0,101.0,
279,122.0,94.0,
280,106.0,67.0,
281,104.0,59.0,
282,108.0,55.0,
283,110.0,55.0,
284,134.0,59.0,
285,201.0,64.0,
286,208.0,69.0,
287,156.0,57.0,
288,118.0,35.0,
289,156.0,27.0,
290,169.0,34.0,
291,136.0,35.0,
292,,35.0,
293,90.0,28.0,
294,66.0,28.0,
295,60.0,23.0,
296,69.0,17.0,
297,98.0,69.0,
298,186.0,62.0,
299,267.0,45.0,
300,186.0,34.0,
301,58.0,35.0,
302,57.0,40.0,
303,69.0,46.0,
304,84.0,43.0,
305,82.0,52.0,
306,81.0,66.0,
307,77.0,70.0,
308,76.0,57.0,
309,129.0,41.0,
310,210.0,43.0,
311,250.0,40.0,
312,197.0,39.0,
313,197.0,105.0,
314,145.0,151.0,
315,146.0,103.0,
316,110.0,118.0,
317,166.0,115.0,
318,90.0,110.0,
319,86.0,90.0,
320,89.0,100.0,
321,145.0,166.0,
322,217.0,154.0,
323,285.0,113.0,
324,145.0,101.0,
325,131.0,55.0,
326,85.0,87.0,
327,57.0,89.0,
328,68.0,92.0,
329,90.0,63.0,
330,116.0,52.0,
331,112.0,52.0,
332,100.0,48.0,
333,164.0,47.0,
334,182.0,47.0,
335,264.0,55.0,
336,224.0,86.0,
337,243.0,103.0,
338,125.0,112.0,
339,103.0,110.0,
340,79.0,96.0,
341,54.0,92.0,
342,60.0,104.0,
343,77.0,74.0,
344,51.0,99.0,
345,406.0,95.0,
346,386.0,133.0,
347,322.0,142.0,
348,331.0,146.0,
349,240.0,117.0,
350,169.0,85.0,
351,262.0,85.0,
352,219.0,89.0,
353,164.0,84.0,
354,168.0,77.0,
355,123.0,75.0,
356,123.0,69.0,
357,108.0,77.0,
358,581.0,115.0,
359,260.0,145.0,
360,143.0,175.0,
361,125.0,138.0,
362,123.0,142.0,
363,134.0,91.0,
364,103.0,79.0,
365,97.0,118.0,
366,98.0,115.0,
367,95.0,128.0,
368,95.0,232.0,
369,112.0,158.0,
370,116.0,138.0,
371,114.0,142.0,
372,97.0,98.0,
373,93.0,100.0,
374,112.0,138.0,
375,109.0,121.0,
376,101.0,247.0,
377,97.0,322.0,
378,91.0,181.0,
379,90.0,64.0,
380,82.0,65.0,
381,87.0,84.0,
382,129.0,78.0,
383,170.0,74.0,
384,151.0,82.0,
385,150.0,209.0,
386,155.0,179.0,
387,170.0,152.0,
388,104.0,124.0,
389,88.0,106.0,
390,75.0,97.0,
391,78.0,117.0,
392,83.0,90.0,
393,147.0,146.0,
394,188.0,257.0,
395,269.0,212.0,
396,185.0,192.0,
397,122.0,132.0,
398,62.0,73.0,
399,81.0,107.0,
400,85.0,92.0,
401,83.0,83.0,77.0
402,88.0,110.0,74.0
403,80.0,112.0,68.0
404,69.0,99.0,62.0
405,79.0,93.0,63.0
406,70.0,85.0,59.0
407,73.0,79.0,155.0
408,97.0,98.0,164.0
409,200.0,140.0,125.0
410,156.0,146.0,227.0
411,114.0,142.0,217.0
412,191.0,,164.0
413,243.0,216.0,179.0
414,117.0,166.0,254.0
415,120.0,198.0,194.0
416,116.0,329.0,159.0
417,152.0,,147.0
418,257.0,363.0,184.0
419,272.0,199.0,234.0
420,246.0,108.0,266.0
421,89.0,156.0,211.0
422,94.0,175.0,172.0
423,138.0,148.0,184.0
424,128.0,155.0,122.0
425,135.0,100.0,110.0
426,120.0,71.0,137.0
427,90.0,64.0,125.0
428,92.0,68.0,138.0
429,95.0,76.0,192.0
430,513.0,60.0,155.0
431,300.0,51.0,195.0
432,278.0,50.0,194.0
433,201.0,61.0,174.0
434,211.0,147.0,179.0
435,159.0,118.0,223.0
436,152.0,109.0,122.0
437,150.0,128.0,76.0
438,103.0,95.0,76.0
439,101.0,52.0,80.0
440,85.0,35.0,103.0
441,149.0,35.0,161.0
442,128.0,31.0,723.0
443,113.0,35.0,577.0
444,67.0,46.0,256.0
445,276.0,104.0,202.0
446,183.0,99.0,171.0
447,,139.0,121.0
448,70.0,94.0,87.0
449,48.0,76.0,79.0
450,51.0,71.0,92.0
451,42.0,63.0,78.0
452,44.0,41.0,59.0
453,78.0,32.0,47.0
454,55.0,34.0,37.0
455,52.0,27.0,39.0
456,50.0,27.0,33.0
457,62.0,27.0,45.0
458,51.0,31.0,37.0
459,52.0,40.0,29.0
460,28.0,35.0,27.0
461,44.0,25.0,33.0
462,68.0,28.0,36.0
463,100.0,45.0,40.0
464,137.0,85.0,37.0
465,103.0,99.0,36.0
466,80.0,180.0,42.0
467,107.0,153.0,47.0
468,127.0,108.0,58.0
469,111.0,74.0,59.0
470,83.0,58.0,56.0
471,82.0,93.0,48.0
472,75.0,82.0,53.0
473,74.0,96.0,52.0
474,69.0,97.0,52.0
475,72.0,93.0,51.0
476,76.0,89.0,63.0
477,72.0,97.0,61.0
478,54.0,86.0,54.0
479,52.0,65.0,55.0
480,58.0,51.0,48.0
481,50.0,54.0,38.0
482,45.0,44.0,39.0
483,53.0,43.0,36.0
484,49.0,65.0,25.0
485,47.0,64.0,21.0
486,44.0,48.0,22.0
487,42.0,48.0,15.0
488,47.0,52.0,30.0
489,56.0,127.0,29.0
490,56.0,132.0,35.0
491,47.0,154.0,41.0
492,46.0,149.0,48.0
493,56.0,87.0,43.0
494,72.0,78.0,49.0
495,111.0,93.0,63.0
496,126.0,120.0,80.0
497,125.0,115.0,44.0
498,96.0,113.0,47.0
499,107.0,102.0,54.0
500,93.0,89.0,50.0
501,92.0,75.0,
502,80.0,62.0,
503,70.0,53.0,
504,68.0,53.0,
505,69.0,52.0,
506,71.0,39.0,
507,72.0,44.0,
508,70.0,41.0,67.0
509,56.0,38.0,63.0
510,57.0,37.0,75.0
511,60.0,44.0,72.0
512,56.0,36.0,35.0
513,57.0,31.0,26.0
514,62.0,31.0,14.0
515,56.0,41.0,32.0
516,64.0,40.0,65.0
517,87.0,38.0,74.0
518,84.0,46.0,86.0
519,84.0,42.0,98.0
520,68.0,49.0,109.0
521,62.0,43.0,
522,47.0,41.0,
523,34.0,45.0,135.0
524,,35.0,131.0
525,77.0,45.0,123.0
526,27.0,41.0,139.0
527,27.0,31.0,157.0
528,30.0,24.0,179.0
529,31.0,26.0,184.0
530,23.0,36.0,175.0
531,20.0,28.0,171.0
532,17.0,23.0,181.0
533,18.0,34.0,123.0
534,17.0,28.0,105.0
535,23.0,30.0,124.0
536,23.0,31.0,129.0
537,33.0,38.0,145.0
538,26.0,61.0,267.0
539,28.0,65.0,302.0
540,34.0,57.0,215.0
541,29.0,41.0,134.0
542,39.0,43.0,92.0
543,34.0,51.0,110.0
544,35.0,44.0,102.0
545,40.0,36.0,136.0
546,42.0,37.0,152.0
547,53.0,32.0,134.0
548,51.0,27.0,116.0
549,,28.0,102.0
550,35.0,33.0,80.0
551,44.0,31.0,54.0
552,37.0,31.0,45.0
553,35.0,34.0,50.0
554,40.0,43.0,58.0
555,38.0,42.0,60.0
556,38.0,47.0,56.0
557,35.0,63.0,94.0
558,157.0,54.0,86.0
559,186.0,89.0,92.0
560,165.0,89.0,110.0
561,161.0,93.0,122.0
562,152.0,97.0,165.0
563,114.0,164.0,116.0
564,112.0,126.0,105.0
565,114.0,,119.0
566,164.0,89.0,86.0
567,156.0,98.0,105.0
568,133.0,203.0,107.0
569,152.0,78.0,83.0
570,158.0,77.0,
