hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
1,406.52,,999.0
2,344.78,,464.0
3,292.08,400.0,690.0
4,230.44,349.0,729.0
5,199.62,260.0,557.0
6,146.98,157.0,330.0
7,135.62,195.0,140.0
8,122.77,90.0,158.0
9,99.78,110.0,78.0
10,20.99,100.0,43.0
11,7.04,69.0,36.0
12,7.17,35.0,29.0
13,8.44,47.0,11.0
14,5.96,30.0,9.0
15,8.09,14.0,8.0
16,8.13,11.0,8.0
17,5.35,21.0,
18,5.12,31.0,12.0
19,8.06,39.0,16.0
20,14.09,45.0,24.0
21,21.64,61.0,20.0
22,49.29,29.0,15.0
23,60.89,33.0,13.0
24,57.67,32.0,13.0
25,67.83,31.0,12.0
26,50.67,36.0,11.0
27,43.23,31.0,20.0
28,42.62,27.0,19.0
29,21.5,28.0,14.0
30,12.47,33.0,16.0
31,17.66,32.0,17.0
32,17.7,30.0,16.0
33,14.08,37.0,15.0
34,9.98,46.0,16.0
35,9.84,40.0,12.0
36,9.65,38.0,14.0
37,8.18,23.0,15.0
38,7.96,16.0,19.0
39,7.12,10.0,22.0
40,,10.0,24.0
41,,15.0,28.0
42,,13.0,26.0
43,,18.0,24.0
44,,29.0,26.0
45,,41.0,
46,,74.0,48.0
47,,47.0,23.0
48,,38.0,20.0
49,,62.0,15.0
50,4.79,76.0,14.0
51,7.09,57.0,12.0
52,7.88,40.0,10.0
53,9.74,14.0,9.0
54,8.18,18.0,8.0
55,5.31,11.0,9.0
56,17.72,11.0,10.0
57,16.61,10.0,14.0
58,9.27,10.0,21.0
59,8.95,11.0,30.0
60,12.4,10.0,28.0
61,7.96,7.0,27.0
62,7.44,7.0,13.0
63,8.53,8.0,13.0
64,8.81,12.0,12.0
65,9.0,11.0,11.0
66,7.24,12.0,12.0
67,7.2,11.0,14.0
68,8.19,14.0,16.0
69,8.75,18.0,16.0
70,11.19,16.0,14.0
71,10.78,15.0,13.0
72,8.85,20.0,13.0
73,9.04,24.0,12.0
74,6.14,40.0,12.0
75,6.79,54.0,14.0
76,11.65,44.0,15.0
77,13.56,35.0,22.0
78,12.79,37.0,19.0
79,11.32,44.0,21.0
80,13.46,54.0,21.0
81,15.93,51.0,
82,17.24,39.0,24.0
83,11.67,19.0,24.0
84,22.31,13.0,18.0
85,31.07,14.0,12.0
86,34.27,15.0,13.0
87,38.81,14.0,16.0
88,36.62,14.0,15.0
89,41.04,16.0,18.0
90,34.15,13.0,18.0
91,17.94,13.0,19.0
92,27.28,18.0,20.0
93,35.84,26.0,20.0
94,44.57,31.0,28.0
95,44.95,22.0,27.0
96,55.04,17.0,22.0
97,68.43,14.0,18.0
98,58.2,24.0,26.0
99,63.1,23.0,18.0
100,59.26,32.0,8.0
101,75.81,26.0,8.0
102,74.68,20.0,11.0
103,76.0,27.0,11.0
104,96.21,26.0,12.0
105,58.62,25.0,15.0
106,49.14,33.0,16.0
107,53.51,42.0,15.0
108,38.89,43.0,14.0
109,30.64,19.0,15.0
110,21.61,17.0,12.0
