hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
1,137.0,67.0,351.0
2,113.0,101.0,351.0
3,141.0,143.0,331.0
4,168.0,154.0,286.0
5,139.0,166.0,178.0
6,89.0,168.0,
7,56.0,94.0,264.0
8,55.0,59.0,131.0
9,39.0,57.0,59.0
10,8.0,35.0,24.0
11,2.0,20.0,19.0
12,,29.0,21.0
13,4.0,36.0,14.0
14,,24.0,10.0
15,2.0,9.0,
16,4.0,15.0,
17,5.0,7.0,
18,4.0,12.0,4.0
19,6.0,11.0,14.0
20,8.0,4.0,30.0
21,17.0,18.0,27.0
22,11.0,22.0,27.0
23,22.0,18.0,22.0
24,30.0,24.0,16.0
25,34.0,40.0,13.0
26,45.0,24.0,12.0
27,37.0,13.0,8.0
28,30.0,17.0,14.0
29,17.0,23.0,15.0
30,18.0,23.0,21.0
31,23.0,31.0,16.0
32,23.0,34.0,13.0
33,16.0,37.0,13.0
34,14.0,46.0,14.0
35,11.0,66.0,12.0
36,9.0,46.0,5.0
37,11.0,22.0,3.0
38,12.0,16.0,10.0
39,5.0,,15.0
40,8.0,18.0,14.0
41,8.0,14.0,24.0
42,9.0,5.0,19.0
43,12.0,5.0,22.0
44,11.0,13.0,33.0
45,13.0,33.0,36.0
46,6.0,40.0,24.0
47,5.0,56.0,20.0
48,6.0,60.0,17.0
49,2.0,71.0,14.0
50,6.0,73.0,12.0
51,4.0,71.0,13.0
52,5.0,43.0,11.0
53,5.0,23.0,8.0
54,7.0,10.0,9.0
55,13.0,9.0,13.0
56,12.0,10.0,9.0
57,16.0,5.0,12.0
58,22.0,4.0,5.0
59,26.0,10.0,19.0
60,17.0,15.0,8.0
61,11.0,13.0,8.0
62,5.0,11.0,11.0
63,10.0,16.0,
64,10.0,11.0,
65,9.0,23.0,
66,6.0,38.0,
67,10.0,22.0,7.0
68,18.0,10.0,17.0
69,27.0,20.0,37.0
70,9.0,31.0,34.0
71,13.0,26.0,23.0
72,13.0,19.0,21.0
73,12.0,40.0,17.0
74,7.0,43.0,19.0
75,14.0,38.0,10.0
76,15.0,31.0,6.0
77,8.0,28.0,6.0
78,11.0,35.0,10.0
79,13.0,33.0,11.0
80,15.0,41.0,12.0
81,23.0,44.0,22.0
82,30.0,54.0,19.0
83,30.0,59.0,24.0
84,21.0,37.0,18.0
85,24.0,31.0,18.0
86,27.0,21.0,21.0
87,29.0,13.0,18.0
88,29.0,15.0,15.0
89,34.0,26.0,24.0
90,42.0,19.0,17.0
91,33.0,15.0,25.0
92,25.0,22.0,32.0
93,32.0,33.0,27.0
94,40.0,37.0,34.0
95,63.0,47.0,23.0
96,86.0,22.0,36.0
97,67.0,16.0,22.0
98,70.0,12.0,23.0
99,88.0,19.0,13.0
100,84.0,14.0,5.0
101,73.0,7.0,8.0
102,65.0,12.0,5.0
103,64.0,22.0,2.0
104,57.0,33.0,
105,57.0,42.0,9.0
106,61.0,40.0,28.0
107,64.0,40.0,51.0
108,49.0,43.0,
109,38.0,34.0,
110,24.0,22.0,
111,4.0,29.0,
112,26.0,18.0,3.0
113,9.0,25.0,9.0
114,9.0,39.0,7.0
115,4.0,24.0,17.0
116,8.0,13.0,11.0
117,20.0,21.0,26.0
118,36.0,23.0,35.0
119,40.0,24.0,29.0
120,24.0,29.0,27.0
121,31.0,26.0,32.0
122,35.0,32.0,22.0
123,41.0,27.0,8.0
124,38.0,17.0,15.0
125,49.0,13.0,19.0
126,49.0,12.0,25.0
127,46.0,14.0,27.0
128,47.0,21.0,38.0
